scenario,variant,n,penalty,weight,strategy,ndcg
running,delay,3,9,var2,Subtree,1.000000
running,delay,3,9,var2,SubtreeWithUncertainty,1.000000
running,delay,3,9,var2,SubtreeWithUncertaintyPropagation,1.000000
running,delay,3,9,var2,SubtreeWithPenalty,1.000000
running,delay,3,9,var2,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,9,var2,ResponseTimeAnalysis,0.867320
running,delay,3,9,var2,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,9,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,9,var2,HybridWithUncertainty,1.000000
running,delay,3,9,var2,HybridWithUncertaintyPropagation,1.000000
running,delay,3,9,var2,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,9,var2,HybridWithUncertaintyPropagationAndPenalty,0.912010
running,delay,3,9,var3,Subtree,1.000000
running,delay,3,9,var3,SubtreeWithUncertainty,0.941340
running,delay,3,9,var3,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,9,var3,SubtreeWithPenalty,1.000000
running,delay,3,9,var3,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,9,var3,ResponseTimeAnalysis,0.867320
running,delay,3,9,var3,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,9,var3,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.941340
running,delay,3,9,var3,HybridWithUncertainty,1.000000
running,delay,3,9,var3,HybridWithUncertaintyPropagation,1.000000
running,delay,3,9,var3,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,9,var3,HybridWithUncertaintyPropagationAndPenalty,0.941340
running,delay,3,3,var1,Subtree,1.000000
running,delay,3,3,var1,SubtreeWithUncertainty,0.970670
running,delay,3,3,var1,SubtreeWithUncertaintyPropagation,0.970670
running,delay,3,3,var1,SubtreeWithPenalty,1.000000
running,delay,3,3,var1,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var1,ResponseTimeAnalysis,0.867320
running,delay,3,3,var1,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,3,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,3,var1,HybridWithUncertainty,1.000000
running,delay,3,3,var1,HybridWithUncertaintyPropagation,1.000000
running,delay,3,3,var1,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,3,var1,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var0,Subtree,1.000000
running,delay,3,3,var0,SubtreeWithUncertainty,0.970670
running,delay,3,3,var0,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,3,var0,SubtreeWithPenalty,1.000000
running,delay,3,3,var0,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,3,var0,ResponseTimeAnalysis,0.867320
running,delay,3,3,var0,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,3,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.941340
running,delay,3,3,var0,HybridWithUncertainty,1.000000
running,delay,3,3,var0,HybridWithUncertaintyPropagation,1.000000
running,delay,3,3,var0,HybridWithUncertaintyAndPenalty,0.970670
running,delay,3,3,var0,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,1,var1,Subtree,1.000000
running,delay,3,1,var1,SubtreeWithUncertainty,0.970670
running,delay,3,1,var1,SubtreeWithUncertaintyPropagation,0.970670
running,delay,3,1,var1,SubtreeWithPenalty,1.000000
running,delay,3,1,var1,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,1,var1,ResponseTimeAnalysis,0.867320
running,delay,3,1,var1,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,1,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.955773
running,delay,3,1,var1,HybridWithUncertainty,1.000000
running,delay,3,1,var1,HybridWithUncertaintyPropagation,1.000000
running,delay,3,1,var1,HybridWithUncertaintyAndPenalty,1.000000
running,delay,3,1,var1,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,1,var0,Subtree,1.000000
running,delay,3,1,var0,SubtreeWithUncertainty,0.970670
running,delay,3,1,var0,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,1,var0,SubtreeWithPenalty,1.000000
running,delay,3,1,var0,SubtreeWithUncertaintyPropagationAndPenalty,0.970670
running,delay,3,1,var0,ResponseTimeAnalysis,0.867320
running,delay,3,1,var0,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,1,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.955773
running,delay,3,1,var0,HybridWithUncertainty,1.000000
running,delay,3,1,var0,HybridWithUncertaintyPropagation,1.000000
running,delay,3,1,var0,HybridWithUncertaintyAndPenalty,1.000000
running,delay,3,1,var0,HybridWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var0,Subtree,1.000000
running,delay,3,5,var0,SubtreeWithUncertainty,0.970670
running,delay,3,5,var0,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,5,var0,SubtreeWithPenalty,1.000000
running,delay,3,5,var0,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var0,ResponseTimeAnalysis,0.867320
running,delay,3,5,var0,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,5,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.941340
running,delay,3,5,var0,HybridWithUncertainty,1.000000
running,delay,3,5,var0,HybridWithUncertaintyPropagation,1.000000
running,delay,3,5,var0,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,5,var0,HybridWithUncertaintyPropagationAndPenalty,0.970670
running,delay,3,5,var1,Subtree,1.000000
running,delay,3,5,var1,SubtreeWithUncertainty,0.970670
running,delay,3,5,var1,SubtreeWithUncertaintyPropagation,0.970670
running,delay,3,5,var1,SubtreeWithPenalty,1.000000
running,delay,3,5,var1,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,5,var1,ResponseTimeAnalysis,0.867320
running,delay,3,5,var1,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,5,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,5,var1,HybridWithUncertainty,1.000000
running,delay,3,5,var1,HybridWithUncertaintyPropagation,1.000000
running,delay,3,5,var1,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,5,var1,HybridWithUncertaintyPropagationAndPenalty,0.941340
running,delay,3,7,var0,Subtree,1.000000
running,delay,3,7,var0,SubtreeWithUncertainty,0.970670
running,delay,3,7,var0,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,7,var0,SubtreeWithPenalty,1.000000
running,delay,3,7,var0,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,7,var0,ResponseTimeAnalysis,0.867320
running,delay,3,7,var0,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,7,var0,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.941340
running,delay,3,7,var0,HybridWithUncertainty,1.000000
running,delay,3,7,var0,HybridWithUncertaintyPropagation,1.000000
running,delay,3,7,var0,HybridWithUncertaintyAndPenalty,0.941340
running,delay,3,7,var0,HybridWithUncertaintyPropagationAndPenalty,0.941340
running,delay,3,7,var1,Subtree,1.000000
running,delay,3,7,var1,SubtreeWithUncertainty,0.970670
running,delay,3,7,var1,SubtreeWithUncertaintyPropagation,0.970670
running,delay,3,7,var1,SubtreeWithPenalty,1.000000
running,delay,3,7,var1,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,7,var1,ResponseTimeAnalysis,0.867320
running,delay,3,7,var1,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,7,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,7,var1,HybridWithUncertainty,1.000000
running,delay,3,7,var1,HybridWithUncertaintyPropagation,1.000000
running,delay,3,7,var1,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,7,var1,HybridWithUncertaintyPropagationAndPenalty,0.912010
running,delay,3,9,var1,Subtree,1.000000
running,delay,3,9,var1,SubtreeWithUncertainty,0.970670
running,delay,3,9,var1,SubtreeWithUncertaintyPropagation,0.970670
running,delay,3,9,var1,SubtreeWithPenalty,1.000000
running,delay,3,9,var1,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
running,delay,3,9,var1,ResponseTimeAnalysis,0.867320
running,delay,3,9,var1,ResponseTimeAnalysisWithPenalty,0.867320
running,delay,3,9,var1,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.912010
running,delay,3,9,var1,HybridWithUncertainty,1.000000
running,delay,3,9,var1,HybridWithUncertaintyPropagation,1.000000
running,delay,3,9,var1,HybridWithUncertaintyAndPenalty,0.912010
running,delay,3,9,var1,HybridWithUncertaintyPropagationAndPenalty,0.912010
running,delay,3,9,var0,Subtree,1.000000
running,delay,3,9,var0,SubtreeWithUncertainty,0.970670
running,delay,3,9,var0,SubtreeWithUncertaintyPropagation,0.941340
running,delay,3,9,var0,SubtreeWithPenalty,1.000000
running,delay,3,9,var0,SubtreeWithUncertaintyPropagationAndPenalty,1.000000
